# file...... output/PMU_like_node_3.csv
# date...... Wed Sep 21 15:06:22 2016
# user...... jacquesdechalendar
# host...... (null)
# target.... meter 33
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag,measured_frequency
2001-01-01 00:00:00.000000 PST,+0,+0,+0,+0,-1237.03167373,+2175.35727226,+0,+0,+0,+0,+0.257414868984,+45.7371335654,+59.9999998464
2001-01-01 00:00:00.010000 PST,+0,+0,+0,+0,-1237.03163286,+2175.36071318,+0,+0,+0,+0,+0.257442342043,+45.7371363357,+59.9999988803
2001-01-01 00:00:00.020000 PST,+0,+0,+0,+0,-1237.03067303,+2175.36399163,+0,+0,+0,+0,+0.257485030884,+45.7371385591,+59.9999974595
2001-01-01 00:00:00.030000 PST,+0,+0,+0,+0,-1237.02865725,+2175.36561815,+0,+0,+0,+0,+0.257505594964,+45.7371286879,+59.999995984
2001-01-01 00:00:00.040000 PST,+0,+0,+0,+0,-1237.02576019,+2175.36497594,+0,+0,+0,+0,+0.257576381299,+45.7371376044,+59.9999947419
2001-01-01 00:00:00.050000 PST,+0,+0,+0,+0,-1237.02263023,+2175.36323176,+0,+0,+0,+0,+0.257613938814,+45.7371352039,+59.9999937774
2001-01-01 00:00:00.060000 PST,+0,+0,+0,+0,-1237.01971972,+2175.36199152,+0,+0,+0,+0,+0.257650652104,+45.7371331955,+59.9999928214
2001-01-01 00:00:00.070000 PST,+0,+0,+0,+0,-1237.01717847,+2175.36263685,+0,+0,+0,+0,+0.257695699789,+45.7371326553,+59.9999915419
2001-01-01 00:00:00.080000 PST,+0,+0,+0,+0,-1237.01475385,+2175.36547457,+0,+0,+0,+0,+0.257756663132,+45.737133698,+59.9999897071
2001-01-01 00:00:00.090000 PST,+0,+0,+0,+0,-1237.01196762,+2175.3696213,+0,+0,+0,+0,+0.257835089137,+45.7371354889,+59.9999873327
2001-01-01 00:00:00.100000 PST,+0,+0,+0,+0,-1237.00841277,+2175.37358609,+0,+0,+0,+0,+0.257925847172,+45.7371367871,+59.9999846681
2001-01-01 00:00:00.110000 PST,+0,+0,+0,+0,-1237.00399129,+2175.37617266,+0,+0,+0,+0,+0.258020414173,+45.737136696,+59.9999820474
2001-01-01 00:00:00.120000 PST,+0,+0,+0,+0,-1236.9989565,+2175.377158,+0,+0,+0,+0,+0.258111977102,+45.7371351679,+59.9999796998
2001-01-01 00:00:00.130000 PST,+0,+0,+0,+0,-1236.99374579,+2175.37736587,+0,+0,+0,+0,+0.258199290642,+45.737132985,+59.9999776289
2001-01-01 00:00:00.140000 PST,+0,+0,+0,+0,-1236.98871432,+2175.37812702,+0,+0,+0,+0,+0.258287101021,+45.737131255,+59.9999756302
2001-01-01 00:00:00.150000 PST,+0,+0,+0,+0,-1236.98393208,+2175.38047562,+0,+0,+0,+0,+0.25838305453,+45.7371307472,+59.9999734275
2001-01-01 00:00:00.160000 PST,+0,+0,+0,+0,-1236.97915987,+2175.38456439,+0,+0,+0,+0,+0.258493072312,+45.7371314632,+59.9999708437
2001-01-01 00:00:00.170000 PST,+0,+0,+0,+0,-1236.97400874,+2175.38962588,+0,+0,+0,+0,+0.258617957612,+45.7371326786,+59.9999679052
2001-01-01 00:00:00.180000 PST,+0,+0,+0,+0,-1236.9681784,+2175.39447109,+0,+0,+0,+0,+0.258753158288,+45.7371334076,+59.9999648226
2001-01-01 00:00:00.190000 PST,+0,+0,+0,+0,-1236.96162996,+2175.39820438,+0,+0,+0,+0,+0.258891663819,+45.7371329929,+59.9999618648
2001-01-01 00:00:00.200000 PST,+0,+0,+0,+0,-1236.95459509,+2175.40072645,+0,+0,+0,+0,+0.259028191099,+45.73713147,+59.9999592061
2001-01-01 00:00:00.210000 PST,+0,+0,+0,+0,-1236.94742539,+2175.40274502,+0,+0,+0,+0,+0.259162157568,+45.7371295066,+59.9999568348
2001-01-01 00:00:00.220000 PST,+0,+0,+0,+0,-1236.94037965,+2175.40531534,+0,+0,+0,+0,+0.259297759904,+45.7371279754,+59.9999545747
2001-01-01 00:00:00.230000 PST,+0,+0,+0,+0,-1236.93347763,+2175.40920492,+0,+0,+0,+0,+0.259441264528,+45.7371274339,+59.9999522006
2001-01-01 00:00:00.240000 PST,+0,+0,+0,+0,-1236.92650293,+2175.4144621,+0,+0,+0,+0,+0.259597218225,+45.7371278145,+59.9999495756
2001-01-01 00:00:00.250000 PST,+0,+0,+0,+0,-1236.91914475,+2175.42042761,+0,+0,+0,+0,+0.259765850977,+45.7371285018,+59.9999467301
2001-01-01 00:00:00.260000 PST,+0,+0,+0,+0,-1236.91118753,+2175.42615712,+0,+0,+0,+0,+0.259943119214,+45.7371287196,+59.9999438394
2001-01-01 00:00:00.270000 PST,+0,+0,+0,+0,-1236.90263406,+2175.43098514,+0,+0,+0,+0,+0.260123237252,+45.7371279952,+59.9999411176
2001-01-01 00:00:00.280000 PST,+0,+0,+0,+0,-1236.89369352,+2175.43489428,+0,+0,+0,+0,+0.260302092851,+45.7371264158,+59.9999386948
2001-01-01 00:00:00.290000 PST,+0,+0,+0,+0,-1236.88464889,+2175.43848629,+0,+0,+0,+0,+0.260479513783,+45.7371245457,+59.9999365484
2001-01-01 00:00:00.300000 PST,+0,+0,+0,+0,-1236.8756887,+2175.44259458,+0,+0,+0,+0,+0.260659117398,+45.7371230693,+59.9999345269
2001-01-01 00:00:00.310000 PST,+0,+0,+0,+0,-1236.86680383,+2175.4477842,+0,+0,+0,+0,+0.260845955456,+45.737122384,+59.9999324469
2001-01-01 00:00:00.320000 PST,+0,+0,+0,+0,-1236.8578068,+2175.45403662,+0,+0,+0,+0,+0.261043432933,+45.7371223843,+59.9999302032
2001-01-01 00:00:00.330000 PST,+0,+0,+0,+0,-1236.84845501,+2175.46079202,+0,+0,+0,+0,+0.261251341186,+45.7371225518,+59.9999278283
2001-01-01 00:00:00.340000 PST,+0,+0,+0,+0,-1236.8385998,+2175.46730374,+0,+0,+0,+0,+0.261466088901,+45.7371222814,+59.9999254677
2001-01-01 00:00:00.350000 PST,+0,+0,+0,+0,-1236.82827208,+2175.47308118,+0,+0,+0,+0,+0.261682894069,+45.7371212386,+59.9999232917
2001-01-01 00:00:00.360000 PST,+0,+0,+0,+0,-1236.81765777,+2175.47815774,+0,+0,+0,+0,+0.261898553794,+45.7371195399,+59.9999213965
2001-01-01 00:00:00.370000 PST,+0,+0,+0,+0,-1236.80698354,+2175.48303895,+0,+0,+0,+0,+0.262113151386,+45.7371176585,+59.9999197536
2001-01-01 00:00:00.380000 PST,+0,+0,+0,+0,-1236.79638515,+2175.48837846,+0,+0,+0,+0,+0.262329755978,+45.7371161279,+59.9999182338
2001-01-01 00:00:00.390000 PST,+0,+0,+0,+0,-1236.78583687,+2175.49458678,+0,+0,+0,+0,+0.262552393438,+45.7371152269,+59.9999166887
2001-01-01 00:00:00.400000 PST,+0,+0,+0,+0,-1236.77518,+2175.50160366,+0,+0,+0,+0,+0.262783555112,+45.7371148325,+59.9999150387
2001-01-01 00:00:00.410000 PST,+0,+0,+0,+0,-1236.76422828,+2175.50895746,+0,+0,+0,+0,+0.26302272479,+45.7371145135,+59.9999133168
2001-01-01 00:00:00.420000 PST,+0,+0,+0,+0,-1236.75288379,+2175.51606041,+0,+0,+0,+0,+0.263266730636,+45.7371138013,+59.9999116441
2001-01-01 00:00:00.430000 PST,+0,+0,+0,+0,-1236.74119461,+2175.52255416,+0,+0,+0,+0,+0.263511624636,+45.7371124655,+59.9999101557
2001-01-01 00:00:00.440000 PST,+0,+0,+0,+0,-1236.7293236,+2175.52850224,+0,+0,+0,+0,+0.263754917749,+45.7371106346,+59.9999089222
2001-01-01 00:00:00.450000 PST,+0,+0,+0,+0,-1236.71745138,+2175.53432586,+0,+0,+0,+0,+0.263996848074,+45.737108702,+59.9999079121
2001-01-01 00:00:00.460000 PST,+0,+0,+0,+0,-1236.70567459,+2175.54053525,+0,+0,+0,+0,+0.264239991888,+45.7371070799,+59.9999070165
2001-01-01 00:00:00.470000 PST,+0,+0,+0,+0,-1236.69395907,+2175.5474247,+0,+0,+0,+0,+0.264487528677,+45.7371059605,+59.999906116
2001-01-01 00:00:00.480000 PST,+0,+0,+0,+0,-1236.68217292,+2175.55491076,+0,+0,+0,+0,+0.264741239617,+45.7371052141,+59.9999051512
2001-01-01 00:00:00.490000 PST,+0,+0,+0,+0,-1236.67017515,+2175.56259925,+0,+0,+0,+0,+0.265000421968,+45.7371044869,+59.9999041545
2001-01-01 00:00:00.500000 PST,+0,+0,+0,+0,-1236.65716562,+2175.57002979,+0,+0,+0,+0,+0.265313016434,+45.7374734265,+59.9999027101
2001-01-01 00:00:00.510000 PST,+0,+0,+0,+0,-1236.64501162,+2175.57685534,+0,+0,+0,+0,+0.265568319679,+45.7374719469,+59.9999021907
2001-01-01 00:00:00.520000 PST,+0,+0,+0,+0,-1236.63290241,+2175.58312879,+0,+0,+0,+0,+0.265818348372,+45.7374699527,+59.9999019401
2001-01-01 00:00:00.530000 PST,+0,+0,+0,+0,-1236.62099503,+2175.58921571,+0,+0,+0,+0,+0.26606325385,+45.7374679095,+59.999901985
2001-01-01 00:00:00.540000 PST,+0,+0,+0,+0,-1236.60936133,+2175.59551244,+0,+0,+0,+0,+0.266305111225,+45.7374661403,+59.9999022335
2001-01-01 00:00:00.550000 PST,+0,+0,+0,+0,-1236.59796867,+2175.60222694,+0,+0,+0,+0,+0.266546337525,+45.7374647768,+59.9999025893
2001-01-01 00:00:00.560000 PST,+0,+0,+0,+0,-1236.5867124,+2175.60926562,+0,+0,+0,+0,+0.266788118645,+45.737463698,+59.9999030065
2001-01-01 00:00:00.570000 PST,+0,+0,+0,+0,-1236.57548964,+2175.61630228,+0,+0,+0,+0,+0.267029622766,+45.7374626169,+59.9999035121
2001-01-01 00:00:00.580000 PST,+0,+0,+0,+0,-1236.56426757,+2175.6229783,+0,+0,+0,+0,+0.267268435716,+45.7374612612,+59.9999041845
2001-01-01 00:00:00.590000 PST,+0,+0,+0,+0,-1236.55310617,+2175.62911003,+0,+0,+0,+0,+0.267501905767,+45.7374595337,+59.9999051027
2001-01-01 00:00:00.600000 PST,+0,+0,+0,+0,-1236.54212492,+2175.63478255,+0,+0,+0,+0,+0.26772856196,+45.7374575606,+59.999906297
2001-01-01 00:00:00.610000 PST,+0,+0,+0,+0,-1236.53143614,+2175.64028144,+0,+0,+0,+0,+0.267948772814,+45.7374556069,+59.9999077305
2001-01-01 00:00:00.620000 PST,+0,+0,+0,+0,-1236.52108589,+2175.64591215,+0,+0,+0,+0,+0.268164305946,+45.7374539144,+59.9999093207
2001-01-01 00:00:00.630000 PST,+0,+0,+0,+0,-1236.51103704,+2175.6518179,+0,+0,+0,+0,+0.268377093939,+45.7374525648,+59.9999109855
2001-01-01 00:00:00.640000 PST,+0,+0,+0,+0,-1236.50120193,+2175.6579027,+0,+0,+0,+0,+0.268587972454,+45.7374514409,+59.9999126873
2001-01-01 00:00:00.650000 PST,+0,+0,+0,+0,-1236.49150271,+2175.66389775,+0,+0,+0,+0,+0.268796125119,+45.7374503083,+59.9999144481
2001-01-01 00:00:00.660000 PST,+0,+0,+0,+0,-1236.48192243,+2175.66952487,+0,+0,+0,+0,+0.268999526046,+45.73744896,+59.9999163297
2001-01-01 00:00:00.670000 PST,+0,+0,+0,+0,-1236.47251717,+2175.67465585,+0,+0,+0,+0,+0.269196068822,+45.7374473368,+59.9999183911
2001-01-01 00:00:00.680000 PST,+0,+0,+0,+0,-1236.46338435,+2175.67937551,+0,+0,+0,+0,+0.269384688978,+45.737445554,+59.9999206503
2001-01-01 00:00:00.690000 PST,+0,+0,+0,+0,-1236.45460819,+2175.68391756,+0,+0,+0,+0,+0.269565828936,+45.7374438259,+59.9999230715
